Tweet,message,match,polarity,positives,negatives
431,RT @TundeTASH: Top 10:;;- Sites to learn Excel for free;- Sites for Free Online Education;- Sites for your career;- Sites to review your re ,"top, excel, free",positive,3,0
432,University of Chicago projected to be the first U.S. university to cost $100k/yr   Get the same in Europe for free  ,free,positive,1,0
433,"RT @Best_Khosa: Happy birthday to this phenomenal woman!Prof Phakeng, a Vice Chancellor, Professor of Mathematics education, a recipient of ","happy, phenomenal, vice",positive,2,1
434,"""Research demonstrates that the SAT and ACT systematically prevent talented and qualified students with less accumu  ","talented, qualified",positive,2,0
435,"RT @CourtneyLTanner: THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ",NA,neutral,0,0
436,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
437,"RT @TLPCanada: We're excited to announce that Grade 9 students across Canada will participate in Take Our #KidsToWork Day on Wednesday, Nov ",excited,positive,1,0
438,"RT @cyberwarman1: Cultists on loose, as massive killings hit Kogi State University  #Education #News",NA,neutral,0,0
439,what a crock:  I m not saying that stuff didn t happen. I just have no idea. I wasn t made aware of it. ;;How the U  ,NA,neutral,0,0
440,RT @rebekahallen: A @UTAustin student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"died, retreat",negative,0,2
441,@atrupar Because their  education  comes from hours upon hours of Right Wing AM radio social engineering. Over thir  ,right,positive,1,0
442,RT @DrexelDragons: Drexel University School of Education (@DrexelSOE) Athletes of the Week for Oct. 28-Nov. 3;;-Jason Arthur of @DrexelSwim ,NA,neutral,0,0
443,RT @KInstituutti: European Education Policy Network (EEPN) first annual conference will take place on 18.11.2019 at the University of Jyv s ,NA,neutral,0,0
444,"Fab afternoon with Chris, chatting to the Access students at @ns_college about their next step in education and ans  ",NA,neutral,0,0
445,RT @UMESNews: A college education transcends you to a new level. Discover the excellence that is the University of Maryland Eastern Shore F ,excellence,positive,1,0
446,"RT @RobertGehrke: From what I gather, here s what the @sltrib going non-profit means:;1. You can make tax-deductible donation here: ",NA,neutral,0,0
447,RT @UMESNews: A college education transcends you to a new level. Discover the excellence that is the University of Maryland Eastern Shore F ,excellence,positive,1,0
448,"Join YWCA St. John s &amp; MacMorran Community Centre, this Wednesday November 6th from 11:00am   2:00pm at MacMorran C  ",NA,neutral,0,0
449,"@KenSmith15251 @fordnation Suprise Ken! I find it insulting, if not degrating as a resident of Ontario to referred  ",NA,neutral,0,0
450,RT @McLNeuro: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s killin ,NA,neutral,0,0
451,"RT @NicoleBarbaro: There is no college education worth $100,000 per year. Absolutely not.  ",worth,positive,1,0
452,"RT @cyberwarman1: Cultists on loose, as massive killings hit Kogi State University  #Education #News",NA,neutral,0,0
453,"RT @NicoleBarbaro: There is no college education worth $100,000 per year. Absolutely not.  ",worth,positive,1,0
454,"@TomJLines @MilesKing10 @giles_fraser @ChurchTimes @AnushkaAsthana I also cite some stats on the 126,000 acres owne  ",NA,neutral,0,0
455,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
456,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
457,"RT @Parliament_Ug: Parliament has learnt that due to tuition fees increment at Makerere University, about 1000 students have discontinued s ",discontinued,negative,0,1
458,"RT @DailyMonitor: Comparing public, private varsities is to use apples and oranges analogy  #MonitorUpdates",NA,neutral,0,0
459,"Meanwhile, in Canada: ""Dr. Nick Etches with [Alberta Health Services] said the numbers are promising and prove thei  ",promising,positive,1,0
460,"RT @RWPUSA: For-profit colleges (Corinthian Colleges, Trump University and more) are often a scam.  ;And Betsy DeVos blames the student vic ",trump,positive,1,0
461,"RT @Portland_State: Happy 50th anniversary to University Honors College! Started with fewer than 30 students, @pdxhonors has transformed in ",happy,positive,1,0
462,SITE Canada Education Day 2019 was amazing!  If you weren't there check out the photo gallery to see what you misse  ,NA,neutral,0,0
463,"RT @NicoleBarbaro: There is no college education worth $100,000 per year. Absolutely not.  ",worth,positive,1,0
464,RT @water_institute: Senior Professorship in Water Governance and Policy;Water Institute   University of Waterloo.;Applications are invited ,NA,neutral,0,0
465,"RT @HonMushimba: Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ","like, support",positive,2,0
466,"RT @NicoleBarbaro: There is no college education worth $100,000 per year. Absolutely not.  ",worth,positive,1,0
467,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
468,"With only 3 percent of former foster youth graduating from a four-year college, programs like the EMPOWER program a  ","like, empower",positive,2,0
469,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
470,"RT @starstrickenSF: education doesn t have to mean formal schooling. you can be educated by the books you read, the people you talk to, the ",educated,positive,1,0
471,RT @felicitycallard: Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,"exploitation, intolerable",negative,0,2
472,Please RT &gt;&gt; Free Education University - How to graduate DEBT FREE! Get 75% off for a limited time!  Link in Bio ,"free, debt, limited",negative,1,2
473,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
474,"RT @wordofgreen: ""During Police Chief Dale Brophy s tenure, officers were failing to contact victims promptly, discipline records show, wit ",failing,negative,0,1
475,"RT @RobertGehrke: From what I gather, here s what the @sltrib going non-profit means:;1. You can make tax-deductible donation here: ",NA,neutral,0,0
476,"RT @RobertGehrke: From what I gather, here s what the @sltrib going non-profit means:;1. You can make tax-deductible donation here: ",NA,neutral,0,0
477,"RT @StudentsOnIce: Open Channels, the @canada_c3 multimedia exhibition is in @ArcticJournal | above&amp;beyond. Open Channels runs in Ottawa, 1 ",NA,neutral,0,0
478," 300,000 a-year Dundee University vice-chancellor suspended for allegedly not paying rent | The Independent ",NA,neutral,0,0
479,"RT @_kamaal: I think we as Caymanians should put aside all this Port, Gay Marriage, Legalizing Weed shit aside and focus on the real issue. ","weed, shit",negative,0,2
480,I'll be interested to see if the Tory manifesto makes a promise on university tuition fees. Perhaps free tuition fo  ,"promise, free",positive,2,0
481,"RT @DailyMonitor: Comparing public, private varsities is to use apples and oranges analogy  #MonitorUpdates",NA,neutral,0,0
482,RT @felicitycallard: Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,"exploitation, intolerable",negative,0,2
483,"RT @APHAStudents: Congratulations to Mallory Ohneck, our 2019 Section Liaison of the Year! Mallory is a Section Liaison for the School Heal ","congratulations, heal",positive,2,0
484,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
485,RT @TundeTASH: Top 10:;;- Sites to learn Excel for free;- Sites for Free Online Education;- Sites for your career;- Sites to review your re ,"top, excel, free",positive,3,0
486,"Don't be shy. Score a job like ""IT Business Systems Analyst II"" at Fayetteville State University by asking for refe  ",like,positive,1,0
487,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
488,RT @NAUKA_GOV_PL: University World News about #IDUB Excellence Initiative:;After nearly 4 years of dialogue between the government and Pol ,excellence,positive,1,0
489,"Comparing public, private varsities is to use apples and oranges analogy  #MonitorUpdates",NA,neutral,0,0
490,"RT @LEDLouisiana: The State of Louisiana, higher education institutions and private sector companies all working together for opportunities ",NA,neutral,0,0
491,"RT @UniLUISS: The Italian Minister of Education, University and Research @lofioramonti answers some questions about social sciences and inn ",NA,neutral,0,0
492,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
493,"RT @ncatsuaggies: In his own words: @WhoIsHLM "" At North Carolina Agricultural and Technical State University, we are responding to opportu ",NA,neutral,0,0
494,"@mypgnow @SD57PG @tiben12 During the early 60's B.C.'s education levels were once the envy of Canada. I know, as I benefitted. ",envy,positive,1,0
495,"Magnificent Monday morning, students! While you're sipping your Falls Cafe mocha, stop by the SUB open area &amp; chat  ","magnificent, falls",neutral,1,1
496,"RT @HonMushimba: Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ","like, support",positive,2,0
497,"RT @FilipHusnik: Prospective PhD students, please apply to the fully funded 5-year PhD program in Science   Deadlin ",NA,neutral,0,0
498,"Prospective PhD students, please apply to the fully funded 5-year PhD program in Science   ",NA,neutral,0,0
499,"Want to work in #SantaClara, CA? View our latest opening:  #Education",work,positive,1,0
500,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
501,RT @felicitycallard: Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,"exploitation, intolerable",negative,0,2
502,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
503,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
504,RT @ShadRaza1: #AI education is a new attraction for students across the world! Time to open more #AI #Universities  @DioFavatas @DrFerdows ,attraction,positive,1,0
505,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
506,RT @rebekahallen: A @UTAustin student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"died, retreat",negative,0,2
507,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
508,"RT @BJD4Odisha: Signing of Agreement:;1. TATA Strive &amp; Director Technical Education and Training;;2. Tech Mahindra, Biju Patnaik University ",NA,neutral,0,0
509,"@mushforbrains75 @LeaveEUOfficial Again, any one with millions has earned it.  Telling people they don t deserve wh  ",NA,neutral,0,0
510,Small class sizes are a hallmark feature of an #urichmond education. We ranked #7 in the category of  Best Classroo  ,"hallmark, best",positive,2,0
511,"Free Education University - How to find scholarships and grants specifically tailored to your personality type, hob  ",free,positive,1,0
512,California State University looks to #AudientWorld mixing with upgraded music &amp; audio engineering facilities  ,upgraded,positive,1,0
513,Carson-Newman University s  Eagle Vote Project  won the 2019 Tennessee College Voter Registration Competition in th  ,won,positive,1,0
514,RT @DacorumSA: We will have a stand at the ITE open event at the University of Hertfordshire on the 21st November. ;Click below link for mo ,NA,neutral,0,0
515,RT @felicitycallard: Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,"exploitation, intolerable",negative,0,2
516,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
517,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
518,"Come join Dr. Carina Black and I as we host a panel discussion on ""Why it Matters? American Leadership in the 3Ds (  ",NA,neutral,0,0
519,"Betsy, we have very competent (as a whole) public education in this country that doesn't cost an arm and a leg. ;;P  ",NA,neutral,0,0
520,@soledadobrien @cvspharmacy Guess CVS has that Trump education.....Trump University,trump,positive,1,0
521,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
522,Good news: Bule Hora University has started giving Geda System education at Masters level.  ,"good, masters",positive,2,0
523,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
524,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
525,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
526,RT @NewTimesRwanda: Medical students from the University of Rwanda who were set to miss their graduation this Friday have been cleared to g ,"miss, cleared",neutral,1,1
527,RT @SheaSprague7: I am proud to announce my commitment to further my education and play Division 1 baseball at Elon University. Thank you t ,"proud, commitment, thank",positive,3,0
528,"@billy_rugg @lebonthite @MbuyiseniNdlozi @MTLekota I have hope too, I have no choice...we have excellent people in  ",excellent,positive,1,0
529,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
530,When was the last time you interviewed for a job and they asked you for your GPA and which University you attended?  ,NA,neutral,0,0
531,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
532,RT @DjNewSouthAfric: Helen Since when are quotas anti-merit?;;If the minister of education were to order racist universities such as UFS &amp; ,racist,negative,0,1
533,Did the University of Texas go easy on the Texas Cowboys after a night of hazing and a student s death? ,easy,positive,1,0
534,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
535," All students will learn about fundamental Blockchain, DLT and smart contract concepts, aspects of the DLT business  ",smart,positive,1,0
536,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
537,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
538,RT @ShadRaza1: #AI education is a new attraction for students across the world! Time to open more #AI #Universities  @DioFavatas @DrFerdows ,attraction,positive,1,0
539,RT @jasonlum: Unacceptable. What a sad reflection on where we ve ended up as a society. We spend a lot of time talking about lack of resour ,"sad, lack",negative,0,2
540,RT @DTaylor_23_: I am blessed and thankful to announce that I have committed to further my education and baseball career at the University ,thankful,positive,1,0
541,Working with creative #students is always exciting!   Chung-Ang University is utilizing our #education license  ,creative,positive,1,0
542,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
543,RT @NewTimesRwanda: Medical students from the University of Rwanda who were set to miss their graduation this Friday have been cleared to g ,"miss, cleared",neutral,1,1
544,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
545,"RT @Parliament_Ug: Parliament has learnt that due to tuition fees increment at Makerere University, about 1000 students have discontinued s ",discontinued,negative,0,1
546,"RT @MaryamMonsef: It's Treaties Recognition Week. Learn more about the history of Canada's Treaties, including the Williams Treaties here i ",NA,neutral,0,0
547,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
548,@Kronykal @TheGallowBoob @ok_girlfriend Forgot to mention i can literally get a better education where i live and h  ,better,positive,1,0
549,"RT @CPGJCam: In this Thursday's @WolfsonCam Education Society meeting, @slr69cam will talk on ""V-Charged: Powering Up the World-Class Unive ",NA,neutral,0,0
550,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
551,RT @bjfr: Come playtest new resources and simulations for teacher education and professional development! The next @mit_tsl playtest is Nov ,NA,neutral,0,0
552,"RT @HonMushimba: Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ","like, support",positive,2,0
553,"RT @ncambirwa: Dr Mbuyiseni Quintin Ndlozi is a South African politician. ;Born: May 9, 1985 (age 34 years), Gauteng, South Africa;Other na ",NA,neutral,0,0
554,"@JamesMelville Meet a student over the weekend and school and education came up,Germany also,students attend university for free.",NA,neutral,0,0
555,RT @seanfeucht: Harvard University and the purpose of higher education.;;,NA,neutral,0,0
556,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
557,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
558,RT @PTIOfficialISB: A great many students have had to quit education or leave their desired field of study just b/c they can t afford unive ,"great, afford",positive,2,0
559,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
560,RT @rebekahallen: A @UTAustin student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"died, retreat",negative,0,2
561,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
562,"Free Education University &gt;&gt; How to get grants for trade or vocational school, community colleges, or a university  ",free,positive,1,0
563,RT @MBTS: For The Church Micro-Conference ;November 17th | 8-9PM;;Join us at @obunews for a discussion on Theological Education and the Chr ,NA,neutral,0,0
564,RT @lexiidomme: True findom is your submissive ass sending for this online course I m doing to further My education even more than My curre ,submissive,negative,0,1
565,RT @sdccampussafety: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,NA,neutral,0,0
566,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
567,I had the privilege of being in class with Ed this past year. EP-ADS Grad Student Joins Network of Doctoral Scholar  ,privilege,positive,1,0
568,RT @sdccampussafety: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,NA,neutral,0,0
569,"RT @PaykamianJCP: A Quillen College of Medicine graduate and former local physician died in a plane crash in Kentucky on Thursday night, ac ","died, crash",negative,0,2
570,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
571,"RT @NorthBelle4: @AndersenAngus This should be front and centre and MANDATORY education in Canada.;New citizens too, need to be taught the ",NA,neutral,0,0
572,"Would a more educated population rejected Brexit?; Only a quarter of Britons with a university degree voted Leave,  ","educated, rejected",neutral,1,1
573,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
574,"The Italian Minister of Education, University and Research @lofioramonti answers some questions about social scienc  ",NA,neutral,0,0
575,"RT @Nationwideradio: Opposition Spokesman on Education, Peter Bunting says the government should now move away from funding institutions an ",opposition,negative,0,1
576,The group was appearing before the Education Committee of Parliament that is scrutinizing the ongoing strike at Mak  ,strike,negative,0,1
577,RT @TamaraMcCleary: World's First #AI University Has More Than 3200 Applicants Already   #education ,NA,neutral,0,0
578,"RT @RichRaho: Pope Francis to university leaders: Education is  not only a matter of filling the mind with concepts,  but using  languages ",NA,neutral,0,0
579,"RT @mjcraw: ""I don't believe that education should continue to be compartmentalized... that's not the way the real world works, but it's th ",NA,neutral,0,0
580,@MacShayn Smh. Upon your University education,NA,neutral,0,0
581,"""In 1876, the Texas Constitution set aside land in West Texas to support The University of Texas and Texas A&amp;M syst  ",support,positive,1,0
582,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
583,"RT @EnglishDemocrat: In 2010 Scottish MP &amp; @LibDems Leader @joswinson Voted for raising England s undergraduate tuition fee cap to  9,000 p ",NA,neutral,0,0
584,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
585,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
586,RT @CourtneyLTanner: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,NA,neutral,0,0
587,"Please join us in celebrating the 50th anniversary of PSU's University Honors College, a leader in educating first-  ",NA,neutral,0,0
588,RT @PTIOfficialISB: A great many students have had to quit education or leave their desired field of study just b/c they can t afford unive ,"great, afford",positive,2,0
589,"RT @ihuoma_okpara: 1. Shell Nursery and Primary School, Port-Harcourt.;;2. Queen's Choice, Ikotun, Lagos. ;;3. Estaport Nursery and Primary ",NA,neutral,0,0
590,How the University of Utah s police department treated female victims and officers for years before Lauren McCluske  ,NA,neutral,0,0
591,"RT @MicsIrwin: Policy Press | Degrees of Freedom - Prison Education at The Open University, By Rod Earle and James Mehigan ","freedom, prison",neutral,1,1
592,"Honestly I believe I really developed my EQ, SQ and AQ in University. I don't give them enough credit for this but  ",enough,positive,1,0
593,"RT @Cgingg34: Thank you @Coach_Gilgan and the @Boxer_Football program for the amazing opportunity to continue my education, as well as play ","thank, amazing, well",positive,3,0
594,Choosing a video management platform for your university isn't easy. ;;If you re looking for a new video management  ,NA,neutral,0,0
595,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
596,"RT @ncatsuaggies: In his own words: @WhoIsHLM "" At North Carolina Agricultural and Technical State University, we are responding to opportu ",NA,neutral,0,0
597,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
598,RT @timm8466: @SenToddYoung @realDonaldTrump @SteveHiltonx @FoxNews Everyone should be reading @RichKelsey Serfs and Lord's...to understand ,NA,neutral,0,0
599,@VILVNV @naturelover3333 @grampazachary @SwampFox214 @Dadsbreak @zephyryne @ICanPlainlySee @jonlmann1986  ,NA,neutral,0,0
600,RT @WhichuniUK: Are you a ; ; Student applying to uni next year?;   Parent worried about the cost of uni?;  Teacher looking for new wa ,worried,negative,0,1
601,The third meeting of the Advisory Council at An-Najah University ;as a representative of teachers attended the meet  ,NA,neutral,0,0
602,RT @UofGSoLS:  | We are thrilled to have been announced as one of the  International @WomensDay award for Best Practice winners in the Edu ,"thrilled, award, best, winners",positive,4,0
603,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
604,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
605,"@KatiePekel @paultough @tarawestover Thanks, @KatiePekel. @umn_RampUp will continue to help all students be prepare  ",NA,neutral,0,0
606,RT @WhichuniUK: Are you a ; ; Student applying to uni next year?;   Parent worried about the cost of uni?;  Teacher looking for new wa ,worried,negative,0,1
607,"RT @mjcraw: ""I don't believe that education should continue to be compartmentalized... that's not the way the real world works, but it's th ",NA,neutral,0,0
608,RT @UtahInnovation: The Huntsman family receives a standing ovation from a packed house as they announce $150 million gift to  @UUtah  and ,ovation,positive,1,0
609,@PensionsMonkey Free university education would be good too - asking for a friend.....;;#benefitsforthemiddleclasses,"free, good",positive,2,0
610,RT @JonHardister: Great article by A&amp;T University Chancellor Harold Martin about how the Piedmont Triad is poised for economic growth and j ,"great, poised",positive,2,0
611,"""I don't believe that education should continue to be compartmentalized... that's not the way the real world works,  ",NA,neutral,0,0
612,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
613,RT @eraser: Blockchain beyond Cryptocurrencies: Application in the Field of learning &amp; Development. Blockchain in Education - Open Source U ,NA,neutral,0,0
614,A Quillen College of Medicine graduate and former local physician died in a plane crash in Kentucky on Thursday nig  ,"died, crash",negative,0,2
615,"Master Programme in Development, Education and International Cooperation at University of Jyv skyl , Finland. Info  ",master,positive,1,0
616,"It's difficult to comprehend how a police department could perform in such a shoddy, and eventually lethal, manner.  ",difficult,negative,0,1
617,RT @beringorca: @USTechWorkers @SenatorDurbin @USCIS This guy got a degree from Osmania University. This is a fraud university in Andhra Pr ,fraud,negative,0,1
618,RT @UtahInnovation: The Huntsman family receives a standing ovation from a packed house as they announce $150 million gift to  @UUtah  and ,ovation,positive,1,0
619,RT @neiler1967: Proud to read that @athloneIT is top Institute of Technology for 2020 as per Sunday Times today. Well done to @COCathain an ,"proud, top, well",positive,3,0
620,"1.) Starts with facts.;Q: age? ;- 26 ;Q: you live in?;- kingston, london;Q: family?;- sister, parents and gf;Q: edu  ",NA,neutral,0,0
621,Free Education University - Is a 17 course curriculum that teaches you how to find the right financial opportunitie  ,"free, right",positive,2,0
622,"President Mary Surridge featured in @CTmagazine ""purposefully pursuing the overall strategic priorities for the uni  ",NA,neutral,0,0
623,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
624,"We'll be launching 2020 editions of our social sciences, business and economics, law and education subject rankings  ",NA,neutral,0,0
625,"RT @NicoleBarbaro: There is no college education worth $100,000 per year. Absolutely not.  ",worth,positive,1,0
626,"Congratulations to The Active Office (SPECIFIC Innovation and Knowledge Centre, Swansea University) - Winner of the  ","congratulations, innovation, winner",positive,3,0
627,Shame on @UTAustin and @gregfenves for allowing the @TexasCowboysATX to continue to operate and party merely one ye  ,shame,negative,0,1
628,RT @rebekahallen: A @UTAustin student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"died, retreat",negative,0,2
629,RT @rebekahallen: A @UTAustin student died after a Texas Cowboys retreat where recruits were hazed. The univ let the student org operate wi ,"died, retreat",negative,0,2
630,RT @marcpsinger: It seems like universities turn to OPMs in order to benefit from their expertise but if online learning is fundamental to ,"like, benefit",positive,2,0
631,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
632,RT @felicitycallard: Very serious levels of exploitation are hard-baked into university ecology   most intolerable for outsourced workers &amp; ,"exploitation, intolerable",negative,0,2
633,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
634,"RT @NZFreeSpeech:  the question becomes: Are we prepared to risk our fourth largest export earner, $5b and 50, ",risk,negative,0,1
635,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
636,"RT @UniLUISS:  Social science are evolving, but what direction are they leading us in? We need to drive this change, dealing with new globa ",leading,positive,1,0
637,RT @ImHer_Claysa: i ll never understand people who put down others for going to an university of their choice. An education is an education ,NA,neutral,0,0
638,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
639,Reinhardt University s Bachelor of Science in Nursing now is accredited by the Commission on Collegiate Nursing Edu  ,NA,neutral,0,0
640,Reinhardt University s Bachelor of Science in Nursing now is accredited by the Commission on Collegiate Nursing Edu  ,NA,neutral,0,0
641,Great article by A&amp;T University Chancellor Harold Martin about how the Piedmont Triad is poised for economic growth  ,"great, poised",positive,2,0
642,RT @yo_its_wolfnick: Extremely blessed to announce that I will be continuing my education and baseball career at the University Of Mary Har ,NA,neutral,0,0
643,"Happy 50th anniversary to University Honors College! Started with fewer than 30 students, @pdxhonors has transforme  ",happy,positive,1,0
644,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
645,RT @BeesonPam: @JamesMelville @RAWnGreen An educated society is a benefit so paying for state sponsored university education is good. Many ,"educated, benefit",positive,2,0
646,RT @azcentral: Embry-Riddle gets accreditation warning for shortened programs ,warning,negative,0,1
647,"1. Shell Nursery and Primary School, Port-Harcourt.;;2. Queen's Choice, Ikotun, Lagos. ;;3. Estaport Nursery and Pr  ",NA,neutral,0,0
648,Center for Child and Family Development at the University of San Francisco School of Education Kicks Off Social Jus  ,NA,neutral,0,0
649,RT @HitmarkerJobs:   NEW: We haven't posted a job in Connecticut for some time!;; #Esports Coordinator   Student Life; Post University (@ ,NA,neutral,0,0
650,"Join IIIT at American University on Tuesday, November 19, 2019 from 5:30pm-7:00pm for ITEP's monthly Global  ",NA,neutral,0,0
651,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
652,Three higher-education associations are encouraging college and university leaders to embrace analytics as a way to  ,encouraging,positive,1,0
653,RT @BellHappe: @Spoonhead8 @furcoatnonics @CorbynistaTeen And even when you do it s a negligible increase. Especially considering free univ ,free,positive,1,0
654,RT @OntLiberal: Conservative cuts to OSAP mean fewer students will graduate from our programs.;;We need to broaden access to post-secondar ,conservative,negative,0,1
